Food,Serving,Calories
Artichoke,1 artichoke (128 g),60
Arugula,1 leaf (2 g),1
Asparagus,1 spear (12 g),2
Aubergine,1 aubergine (458 g),115
Beetroot,1 beet (82 g),35
Bell Pepper,1 pepper (73 g),15
Black Olives,1 olive (2.7 g),2
Broccoli,1 bunch (608 g),207
Brussels Sprouts,1 sprout (19 g),8
Cabbage,1 head (908 g),227
Capsicum,1 pepper (45 g),12
Carrot,1 carrot (61 g),25
Cauliflower,1 floweret (13 g),3
Celery,1 stalk (40 g),6
Chard,1 leaf (48 g),9
Cherry Tomato,1 cherry tomato (20 g),20
Chicory,1 head (53 g),38
Chinese Cabbage,1 head (840 g),134
Chives,"1 tbsp, chopped (3 g)",1
Collard Greens,"1 cup, raw (36 g)",12
Corn,1 cup (154 g),562
Courgette,1 courgette (196 g),33
Creamed Spinach,1 cup (200 g),148
Cucumber,1 cucumber (410 g),66
Eggplant,1 eggplant (458 g),115
Endive,1 head (513 g),87
Fennel,1 bulb (234 g),73
Garlic,1 clove (3 g),4
Gherkin,1 gherkin (65 g),9
Gourd,1 gourd (771 g),108
Green Beans,1 cup (110 g),34
Green Olives,1 olive (2.7 g),2
Green Onion,1 green onion (15 g),5
Horseradish,1 tbsp (15 g),7
Kale,"1 cup, chopped (67 g)",33
Kohlrabi,1 kohlrabi (400 g),108
Kumara,1 kumara (130 g),112
Leek,1 leek (89 g),54
Lettuce,1 head (600 g),90
Mushrooms,1 mushroom (5.4 g),1
Mustard Greens,"1 cup, chopped (56 g)",15
Nori,1 sheet (2.6 g),1
Okra,1 pod (12 g),4
Olives,1 olive (2.7 g),2
Onion,1 onion (85 g),34
Parsnips,1 parsnip (170 g),128
Peas,1 cup (98 g),79
Pepper,1 pepper (75 g),20
Potato,1 potato (213 g),164
Pumpkin,1 pumpkin (196 g),51
Radishes,1 radish (4.5 g),1
Red Cabbage,1 leaf (22 g),7
Rutabaga,1 rutabaga (386 g),147
Shallots,1 shallot (25 g),18
Spinach,1 bunch (340 g),78
Squash,1 squash (196 g),88
Sweet Potato,1 potato (130 g),112
Tomato,1 tomato (111 g),20
Turnip Greens,1 turnip green (170 g),34
Turnips,1 turnip (122 g),34
Wasabi,1 root (169 g),184
Winter Squash,1 squash (431 g),147
Zucchini,1 zucchini (196 g),33
Acai,1 oz. (28.35 g),20
Apple,1 apple (182 g),95
Applesauce,1 cup (246 g),167
Apricot,1 apricot (35 g),17
Avocado,1 avocado (200 g),320
Banana,1 banana (125 g),111
Blackberries,1 cup (144 g),62
Blood Oranges,1 serving (140 g),70
Blueberries,1 cup (148 g),84
Cantaloupe,1 wedge (69 g),23
Cherries,1 cherry (8 g),4
Clementine,1 clementine (74 g),35
Cranberries,1 cup (100 g),46
Currants,1 cup (112 g),63
Custard Apple,1 custard apple (135 g),136
Dates,1 date (7.1 g),20
Figs,1 fig (50 g),37
Fruit salad,1 cup (249 g),125
Grapes,1 cup (151 g),104
Greengage,1 fruit (5 g),2
Guava,1 guava (55 g),37
Jackfruit,1 cup (151 g),143
Jujube,1 oz. (28.35 g),22
Kiwi,1 liwi (183 g),112
Lemon,1 lemon (58 g),17
